Date,Home Team,Away Team,Result,Stage,Scoresheet_Home,Scorer_Home,Scoresheet_Away,Scorer_Away
"Dec 6, 2017",Real Madrid,Bor. Dortmund,3:2,Group H,"[""8'"", ""12'"", ""81'""]","['Borja Mayoral', 'Cristiano Ronaldo', 'Lucas Vázquez']","[""43'"", ""49'""]","['Pierre-Emerick Aubameyang', 'Pierre-Emerick Aubameyang']"
"Dec 6, 2017",Tottenham,APOEL Nicosia,3:0,Group H,"[""20'"", ""37'"", ""80'""]","['Fernando Llorente', 'Heung-min Son', ""Georges-Kevin N'Koudou""]",[],[]
"Feb 13, 2018",Juventus,Tottenham,2:2,Last 16 Leg 1,"[""2'"", ""9'""]","['Gonzalo Higuaín', 'Gonzalo Higuaín']","[""35'"", ""71'""]","['Harry Kane', 'Christian Eriksen']"
"Feb 13, 2018",FC Basel,Man City,0:4,Last 16 Leg 1,[],[],"[""14'"", ""18'"", ""23'"", ""53'""]","['İlkay Gündoğan', 'Bernardo Silva', 'Sergio Agüero', 'İlkay Gündoğan']"
"Feb 14, 2018",FC Porto,Liverpool,0:5,Last 16 Leg 1,[],[],"[""25'"", ""29'"", ""53'"", ""69'"", ""85'""]","['Sadio Mané', 'Mohamed Salah', 'Sadio Mané', 'Roberto Firmino', 'Sadio Mané']"
"Feb 14, 2018",Real Madrid,Paris SG,3:1,Last 16 Leg 1,"[""45'"", ""83'"", ""86'""]","['Cristiano Ronaldo', 'Cristiano Ronaldo', 'Marcelo']","[""33'""]",['Adrien Rabiot']
"Feb 20, 2018",Chelsea,Barcelona,1:1,Last 16 Leg 1,"[""62'""]",['Willian'],"[""75'""]",['Lionel Messi']
"Feb 20, 2018",Bayern Munich,Besiktas,5:0,Last 16 Leg 1,"[""43'"", ""52'"", ""66'"", ""79'"", ""88'""]","['Thomas Müller', 'Kingsley Coman', 'Thomas Müller', 'Robert Lewandowski', 'Robert Lewandowski']",[],[]
"Feb 21, 2018",Sevilla FC,Man Utd,0:0,Last 16 Leg 1,[],[],[],[]
"Feb 21, 2018",Shakhtar D.,AS Roma,2:1,Last 16 Leg 1,"[""52'"", ""71'""]","['Facundo Ferreyra', 'Fred']","[""41'""]",['Cengiz Ünder']
"Mar 6, 2018",Liverpool,FC Porto,0:0,Last 16 Leg 2,[],[],[],[]
"Mar 6, 2018",Paris SG,Real Madrid,1:2,Last 16 Leg 2,"[""71'""]",['Edinson Cavani'],"[""51'"", ""80'""]","['Cristiano Ronaldo', 'Casemiro']"
"Mar 7, 2018",Tottenham,Juventus,1:2,Last 16 Leg 2,"[""39'""]",['Heung-min Son'],"[""64'"", ""67'""]","['Gonzalo Higuaín', 'Paulo Dybala']"
"Mar 7, 2018",Man City,FC Basel,1:2,Last 16 Leg 2,"[""8'""]",['Gabriel Jesus'],"[""17'"", ""71'""]","['Mohamed Elyounoussi', 'Michael Lang']"
"Mar 13, 2018",Man Utd,Sevilla FC,1:2,Last 16 Leg 2,"[""84'""]",['Romelu Lukaku'],"[""74'"", ""78'""]","['Wissam Ben Yedder', 'Wissam Ben Yedder']"
"Mar 13, 2018",AS Roma,Shakhtar D.,1:0,Last 16 Leg 2,"[""52'""]",['Edin Dzeko'],[],[]
"Mar 14, 2018",Besiktas,Bayern Munich,1:3,Last 16 Leg 2,"[""59'""]",['Vágner Love'],"[""18'"", ""46'""]","['Thiago', 'Gökhan Gönül']"
"Mar 14, 2018",Barcelona,Chelsea,3:0,Last 16 Leg 2,"[""3'"", ""20'"", ""63'""]","['Lionel Messi', 'Ousmane Dembélé', 'Lionel Messi']",[],[]
"Apr 3, 2018",Juventus,Real Madrid,0:3,Quarter Finals Leg 1,[],[],"[""3'"", ""64'"", ""72'""]","['Cristiano Ronaldo', 'Cristiano Ronaldo', 'Marcelo']"
"Apr 3, 2018",Sevilla FC,Bayern Munich,1:2,Quarter Finals Leg 1,"[""32'""]",['Pablo Sarabia'],"[""37'"", ""68'""]","['Jesús Navas', 'Thiago']"
"Apr 4, 2018",Barcelona,AS Roma,4:1,Quarter Finals Leg 1,"[""38'"", ""55'"", ""59'"", ""87'""]","['Daniele De Rossi', 'Konstantinos Manolas', 'Gerard Piqué', 'Luis Suárez']","[""80'""]",['Edin Dzeko']
"Apr 4, 2018",Liverpool,Man City,3:0,Quarter Finals Leg 1,"[""12'"", ""21'"", ""31'""]","['Mohamed Salah', 'Alex Oxlade-Chamberlain', 'Sadio Mané']",[],[]
"Apr 10, 2018",AS Roma,Barcelona,3:0,Quarter Finals Leg 2,"[""6'"", ""58'"", ""82'""]","['Edin Dzeko', 'Daniele De Rossi', 'Konstantinos Manolas']",[],[]
"Apr 10, 2018",Man City,Liverpool,1:2,Quarter Finals Leg 2,"[""2'""]",['Gabriel Jesus'],"[""56'"", ""77'""]","['Mohamed Salah', 'Roberto Firmino']"
"Apr 11, 2018",Real Madrid,Juventus,1:3,Quarter Finals Leg 2,"[""90+7'""]",['Cristiano Ronaldo'],"[""2'"", ""37'"", ""61'""]","['Mario Mandžukić', 'Mario Mandžukić', 'Blaise Matuidi']"
"Apr 11, 2018",Bayern Munich,Sevilla FC,0:0,Quarter Finals Leg 2,[],[],[],[]
"Apr 24, 2018",Liverpool,AS Roma,5:2,Semi Finals Leg 1,"[""36'"", ""45+1'"", ""56'"", ""61'"", ""69'""]","['Mohamed Salah', 'Mohamed Salah', 'Sadio Mané', 'Roberto Firmino', 'Roberto Firmino']","[""81'"", ""85'""]","['Edin Dzeko', 'Diego Perotti']"
"Apr 25, 2018",Bayern Munich,Real Madrid,1:2,Semi Finals Leg 1,"[""28'""]",['Joshua Kimmich'],"[""44'"", ""57'""]","['Marcelo', 'Marco Asensio']"
"May 1, 2018",Real Madrid,Bayern Munich,2:2,Semi Finals Leg 2,"[""11'"", ""46'""]","['Karim Benzema', 'Karim Benzema']","[""3'"", ""63'""]","['Joshua Kimmich', 'James Rodríguez']"
"May 2, 2018",AS Roma,Liverpool,4:2,Semi Finals Leg 2,"[""15'"", ""52'"", ""86'"", ""90+4'""]","['James Milner', 'Edin Dzeko', 'Radja Nainggolan', 'Radja Nainggolan']","[""9'"", ""25'""]","['Sadio Mané', 'Georginio Wijnaldum']"
"May 26, 2018",Real Madrid,Liverpool,3:1,Final,"[""51'"", ""63'"", ""83'""]","['Karim Benzema', 'Gareth Bale', 'Gareth Bale']","[""55'""]",['Sadio Mané']
"Sep 18, 2018",Club Brugge,Bor. Dortmund,0:1,Group A,[],[],"[""85'""]",['Christian Pulisic']
"Sep 18, 2018",Monaco,Atlético Madrid,1:2,Group A,"[""18'""]",['Samuel Grandsir'],"[""31'"", ""45+1'""]","['Diego Costa', 'José María Giménez']"
"Oct 3, 2018",Atlético Madrid,Club Brugge,3:1,Group A,"[""28'"", ""67'"", ""90+3'""]","['Antoine Griezmann', 'Antoine Griezmann', 'Koke']","[""39'""]",['Arnaut Danjuma']
"Oct 3, 2018",Bor. Dortmund,Monaco,3:0,Group A,"[""51'"", ""72'"", ""90+2'""]","['Jacob Bruun Larsen', 'Paco Alcácer', 'Marco Reus']",[],[]
"Oct 24, 2018",Club Brugge,Monaco,1:1,Group A,"[""39'""]",['Wesley Moraes'],"[""32'""]",['Moussa Sylla']
"Oct 24, 2018",Bor. Dortmund,Atlético Madrid,4:0,Group A,"[""38'"", ""73'"", ""83'"", ""89'""]","['Axel Witsel', 'Raphaël Guerreiro', 'Jadon Sancho', 'Raphaël Guerreiro']",[],[]
"Nov 6, 2018",Monaco,Club Brugge,0:4,Group A,[],[],"[""12'"", ""17'"", ""24'"", ""85'""]","['Hans Vanaken', 'Hans Vanaken', 'Wesley Moraes', 'Ruud Vormer']"
"Nov 6, 2018",Atlético Madrid,Bor. Dortmund,2:0,Group A,"[""33'"", ""80'""]","['Saúl Ñíguez', 'Antoine Griezmann']",[],[]
"Nov 28, 2018",Atlético Madrid,Monaco,2:0,Group A,"[""2'"", ""24'""]","['Koke', 'Antoine Griezmann']",[],[]
"Nov 28, 2018",Bor. Dortmund,Club Brugge,0:0,Group A,[],[],[],[]
"Dec 11, 2018",Club Brugge,Atlético Madrid,0:0,Group A,[],[],[],[]
"Dec 11, 2018",Monaco,Bor. Dortmund,0:2,Group A,[],[],"[""15'"", ""88'""]","['Raphaël Guerreiro', 'Raphaël Guerreiro']"
"Sep 18, 2018",Barcelona,PSV Eindhoven,4:0,Group B,"[""31'"", ""74'"", ""77'"", ""87'""]","['Lionel Messi', 'Ousmane Dembélé', 'Lionel Messi', 'Lionel Messi']",[],[]
"Sep 18, 2018",Inter,Tottenham,2:1,Group B,"[""86'"", ""90+2'""]","['Mauro Icardi', 'Matías Vecino']","[""53'""]",['Christian Eriksen']
"Oct 3, 2018",Tottenham,Barcelona,2:4,Group B,"[""52'"", ""66'""]","['Harry Kane', 'Erik Lamela']","[""2'"", ""28'"", ""56'"", ""90'""]","['Philippe Coutinho', 'Ivan Rakitic', 'Lionel Messi', 'Lionel Messi']"
"Oct 3, 2018",PSV Eindhoven,Inter,1:2,Group B,"[""27'""]",['Pablo Rosario'],"[""44'"", ""60'""]","['Radja Nainggolan', 'Mauro Icardi']"
"Oct 24, 2018",PSV Eindhoven,Tottenham,2:2,Group B,"[""29'"", ""87'""]","['Hirving Lozano', 'Luuk de Jong']","[""39'"", ""54'""]","['Lucas Moura', 'Harry Kane']"
"Oct 24, 2018",Barcelona,Inter,2:0,Group B,"[""32'"", ""83'""]","['Rafinha', 'Jordi Alba']",[],[]
"Nov 6, 2018",Tottenham,PSV Eindhoven,2:1,Group B,"[""78'"", ""89'""]","['Harry Kane', 'Harry Kane']","[""2'""]",['Luuk de Jong']
"Nov 6, 2018",Inter,Barcelona,1:1,Group B,"[""87'""]",['Mauro Icardi'],"[""83'""]",['Malcom']
"Nov 28, 2018",PSV Eindhoven,Barcelona,1:2,Group B,"[""83'""]",['Luuk de Jong'],"[""61'"", ""70'""]","['Lionel Messi', 'Gerard Piqué']"
"Nov 28, 2018",Tottenham,Inter,1:0,Group B,"[""80'""]",['Christian Eriksen'],[],[]
"Dec 11, 2018",Barcelona,Tottenham,1:1,Group B,"[""7'""]",['Ousmane Dembélé'],"[""85'""]",['Lucas Moura']
"Dec 11, 2018",Inter,PSV Eindhoven,1:1,Group B,"[""73'""]",['Mauro Icardi'],"[""13'""]",['Hirving Lozano']
"Sep 18, 2018",Red Star,SSC Napoli,0:0,Group C,[],[],[],[]
"Sep 18, 2018",Liverpool,Paris SG,3:2,Group C,"[""30'"", ""36'"", ""90+2'""]","['Daniel Sturridge', 'James Milner', 'Roberto Firmino']","[""40'"", ""83'""]","['Thomas Meunier', 'Kylian Mbappé']"
"Oct 3, 2018",Paris SG,Red Star,6:1,Group C,"[""20'"", ""22'"", ""37'"", ""41'"", ""70'"", ""81'""]","['Neymar', 'Neymar', 'Edinson Cavani', 'Ángel Di María', 'Kylian Mbappé', 'Neymar']","[""74'""]",['Marko Marin']
"Oct 3, 2018",SSC Napoli,Liverpool,1:0,Group C,"[""90'""]",['Lorenzo Insigne'],[],[]
"Oct 24, 2018",Paris SG,SSC Napoli,2:2,Group C,"[""61'"", ""90+3'""]","['Mário Rui', 'Ángel Di María']","[""29'"", ""77'""]","['Lorenzo Insigne', 'Dries Mertens']"
"Oct 24, 2018",Liverpool,Red Star,4:0,Group C,"[""20'"", ""45'"", ""51'"", ""80'""]","['Roberto Firmino', 'Mohamed Salah', 'Mohamed Salah', 'Sadio Mané']",[],[]
"Nov 6, 2018",Red Star,Liverpool,2:0,Group C,"[""22'"", ""29'""]","['Milan Pavkov', 'Milan Pavkov']",[],[]
"Nov 6, 2018",SSC Napoli,Paris SG,1:1,Group C,"[""63'""]",['Lorenzo Insigne'],"[""45+2'""]",['Juan Bernat']
"Nov 28, 2018",Paris SG,Liverpool,2:1,Group C,"[""13'"", ""37'""]","['Juan Bernat', 'Neymar']","[""45+1'""]",['James Milner']
"Nov 28, 2018",SSC Napoli,Red Star,3:1,Group C,"[""11'"", ""33'"", ""52'""]","['Marek Hamsik', 'Dries Mertens', 'Dries Mertens']","[""57'""]",['El Fardou Ben']
"Dec 11, 2018",Red Star,Paris SG,1:4,Group C,"[""56'""]",['Marko Gobeljic'],"[""9'"", ""40'"", ""74'"", ""90+2'""]","['Edinson Cavani', 'Neymar', 'Marquinhos', 'Kylian Mbappé']"
"Dec 11, 2018",Liverpool,SSC Napoli,1:0,Group C,"[""34'""]",['Mohamed Salah'],[],[]
"Sep 18, 2018",FC Schalke 04,FC Porto,1:1,Group D,"[""64'""]",['Breel Embolo'],"[""75'""]",['Otávio']
"Sep 18, 2018",Galatasaray,Loko Moscow,3:0,Group D,"[""9'"", ""67'"", ""90+4'""]","['Garry Rodrigues', 'Eren Derdiyok', 'Selçuk İnan']",[],[]
"Oct 3, 2018",Loko Moscow,FC Schalke 04,0:1,Group D,[],[],"[""88'""]",['Weston McKennie']
"Oct 3, 2018",FC Porto,Galatasaray,1:0,Group D,"[""49'""]",['Moussa Marega'],[],[]
"Oct 24, 2018",Loko Moscow,FC Porto,1:3,Group D,"[""38'""]",['Anton Miranchuk'],"[""26'"", ""35'"", ""47'""]","['Moussa Marega', 'Héctor Herrera', 'Jesús Corona']"
"Oct 24, 2018",Galatasaray,FC Schalke 04,0:0,Group D,[],[],[],[]
"Nov 6, 2018",FC Schalke 04,Galatasaray,2:0,Group D,"[""4'"", ""57'""]","['Guido Burgstaller', 'Mark Uth']",[],[]
"Nov 6, 2018",FC Porto,Loko Moscow,4:1,Group D,"[""2'"", ""42'"", ""67'"", ""90+3'""]","['Héctor Herrera', 'Moussa Marega', 'Jesús Corona', 'Otávio']","[""59'""]",['Jefferson Farfán']
"Nov 28, 2018",Loko Moscow,Galatasaray,2:0,Group D,"[""43'"", ""54'""]","['Ryan Donk', 'Vladislav Ignatjev']",[],[]
